
  N E M O A G E 0.32.6b DMI [06 Mar 2025]

  Copyright (C) 2006-2025 The Authors
  This is free software; see the source for copying
  conditions. There is NO warranty; not even for 
  MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
  Repository: https://bitbucket.org/ecoevo/nemo-age-release
  Support: nemo-simul@googlegroups.com
-----------------------------------------------------------
reading parameters from "ini_files/run/multi_cluster_p10_r04_sel_O_k30_b0.03.ini"
setting random seed from input value: 9999

>>>> WARNING::"quanti_allele_value" has less values than the number of loci, allelic values will be recycled among loci.

--- SIMULATION 1/1 ---- [ multi_cluster_p10_r04_sel_O_k30_b0.03 ]

    start: 10-02-2026 13:54:17
    mode: overwrite
    population: 4 stages, 625 patches
    traits: quant(0)
    LCEs: quanti_init(0), breed_disperse(1), seed_disperse(2), viability_selection(3), regulation(4), save_stats(5), aging_multi(6), save_files(7)
    outputs: results/sel_O/multi_cluster/p10/r04/run/{*.log, quanti/*.quanti, *.txt}


    replicate 1/20 [13:54:17] 1/1000                
    replicate 1/20 [13:54:17] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 1/20 [13:54:17] 2/1000
    replicate 1/20 [13:54:17] 3/1000
    replicate 1/20 [13:54:17] 4/1000
    replicate 1/20 [13:54:17] 5/1000
    replicate 1/20 [13:54:17] 6/1000
    replicate 1/20 [13:54:17] 7/1000
    replicate 1/20 [13:54:17] 8/1000
    replicate 1/20 [13:54:17] 9/1000
    replicate 1/20 [13:54:17] 10/1000
    replicate 1/20 [13:54:17] 11/1000
    replicate 1/20 [13:54:17] 12/1000
    replicate 1/20 [13:54:17] 13/1000
    replicate 1/20 [13:54:17] 14/1000
    replicate 1/20 [13:54:17] 15/1000
    replicate 1/20 [13:54:17] 16/1000
    replicate 1/20 [13:54:17] 17/1000
    replicate 1/20 [13:54:17] 18/1000
    replicate 1/20 [13:54:17] 19/1000
    replicate 1/20 [13:54:17] 20/1000
    replicate 1/20 [13:54:17] 21/1000
    replicate 1/20 [13:54:17] 22/1000
    replicate 1/20 [13:54:17] 23/1000
    replicate 1/20 [13:54:17] 24/1000
    replicate 1/20 [13:54:17] 25/1000
    replicate 1/20 [13:54:17] 26/1000
    replicate 1/20 [13:54:17] 27/1000
    replicate 1/20 [13:54:17] 28/1000
    replicate 1/20 [13:54:17] 29/1000
    replicate 1/20 [13:54:17] 30/1000
    replicate 1/20 [13:54:17] 31/1000
    replicate 1/20 [13:54:17] 32/1000
    replicate 1/20 [13:54:17] 33/1000
    replicate 1/20 [13:54:17] 34/1000
    replicate 1/20 [13:54:17] 35/1000
    replicate 1/20 [13:54:17] 36/1000
    replicate 1/20 [13:54:17] 37/1000
    replicate 1/20 [13:54:17] 38/1000
    replicate 1/20 [13:54:17] 39/1000
    replicate 1/20 [13:54:17] 40/1000
    replicate 1/20 [13:54:17] 41/1000
    replicate 1/20 [13:54:17] 42/1000
    replicate 1/20 [13:54:17] 43/1000
    replicate 1/20 [13:54:18] 44/1000
    replicate 1/20 [13:54:18] 45/1000
    replicate 1/20 [13:54:18] 46/1000
    replicate 1/20 [13:54:18] 47/1000
    replicate 1/20 [13:54:18] 48/1000
    replicate 1/20 [13:54:18] 49/1000
    replicate 1/20 [13:54:18] 50/1000
    replicate 1/20 [13:54:18] 51/1000
    replicate 1/20 [13:54:18] 52/1000
    replicate 1/20 [13:54:18] 53/1000
    replicate 1/20 [13:54:18] 54/1000
    replicate 1/20 [13:54:18] 55/1000
    replicate 1/20 [13:54:18] 56/1000
    replicate 1/20 [13:54:18] 57/1000
    replicate 1/20 [13:54:18] 58/1000
    replicate 1/20 [13:54:18] 59/1000
    replicate 1/20 [13:54:18] 60/1000
    replicate 1/20 [13:54:18] 61/1000
    replicate 1/20 [13:54:18] 62/1000
    replicate 1/20 [13:54:18] 63/1000
    replicate 1/20 [13:54:18] 64/1000
    replicate 1/20 [13:54:18] 65/1000
    replicate 1/20 [13:54:18] 66/1000
    replicate 1/20 [13:54:18] 67/1000
    replicate 1/20 [13:54:18] 68/1000
    replicate 1/20 [13:54:18] 69/1000
    replicate 1/20 [13:54:18] 70/1000
    replicate 1/20 [13:54:18] 71/1000
    replicate 1/20 [13:54:18] 72/1000
    replicate 1/20 [13:54:18] 73/1000
