
  N E M O A G E 0.32.6b DMI [06 Mar 2025]

  Copyright (C) 2006-2025 The Authors
  This is free software; see the source for copying
  conditions. There is NO warranty; not even for 
  MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
  Repository: https://bitbucket.org/ecoevo/nemo-age-release
  Support: nemo-simul@googlegroups.com
-----------------------------------------------------------
reading parameters from "ini_files/run/one_cluster_p25_r02_sel_O_k30_b0.03.ini"
setting random seed from input value: 9999

>>>> WARNING::"quanti_allele_value" has less values than the number of loci, allelic values will be recycled among loci.

--- SIMULATION 1/1 ---- [ one_cluster_p25_r02_sel_O_k30_b0.03 ]

    start: 10-02-2026 14:17:56
    mode: overwrite
    population: 4 stages, 625 patches
    traits: quant(0)
    LCEs: quanti_init(0), breed_disperse(1), seed_disperse(2), viability_selection(3), regulation(4), save_stats(5), aging_multi(6), save_files(7)
    outputs: results/sel_O/one_cluster/p25/r02/run/{*.log, quanti/*.quanti, *.txt}


    replicate 1/20 [14:17:56] 1/1000                
    replicate 1/20 [14:17:56] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 1/20 [14:17:56] 2/1000
    replicate 1/20 [14:17:56] 3/1000
    replicate 1/20 [14:17:56] 4/1000
    replicate 1/20 [14:17:56] 5/1000
    replicate 1/20 [14:17:56] 6/1000
    replicate 1/20 [14:17:56] 7/1000
    replicate 1/20 [14:17:56] 8/1000
    replicate 1/20 [14:17:56] 9/1000
    replicate 1/20 [14:17:56] 10/1000
    replicate 1/20 [14:17:56] 11/1000
    replicate 1/20 [14:17:57] 12/1000
    replicate 1/20 [14:17:57] 13/1000
    replicate 1/20 [14:17:57] 14/1000
    replicate 1/20 [14:17:57] 15/1000
    replicate 1/20 [14:17:57] 16/1000
    replicate 1/20 [14:17:57] 17/1000
    replicate 1/20 [14:17:57] 18/1000
    replicate 1/20 [14:17:57] 19/1000
    replicate 1/20 [14:17:57] 20/1000
    replicate 1/20 [14:17:57] 21/1000
    replicate 1/20 [14:17:57] 22/1000
    replicate 1/20 [14:17:57] 23/1000
    replicate 1/20 [14:17:57] 24/1000
    replicate 1/20 [14:17:57] 25/1000
    replicate 1/20 [14:17:57] 26/1000
    replicate 1/20 [14:17:57] 27/1000
    replicate 1/20 [14:17:57] 28/1000
    replicate 1/20 [14:17:57] 29/1000
    replicate 1/20 [14:17:57] 30/1000
    replicate 1/20 [14:17:57] 31/1000
    replicate 1/20 [14:17:57] 32/1000
    replicate 1/20 [14:17:57] 33/1000
    replicate 1/20 [14:17:57] 34/1000
    replicate 1/20 [14:17:57] 35/1000
    replicate 1/20 [14:17:57] 36/1000
    replicate 1/20 [14:17:57] 37/1000
    replicate 1/20 [14:17:57] 38/1000
    replicate 1/20 [14:17:57] 39/1000
    replicate 1/20 [14:17:57] 40/1000
    replicate 1/20 [14:17:57] 41/1000
    replicate 1/20 [14:17:57] 42/1000
    replicate 1/20 [14:17:57] 43/1000
    replicate 1/20 [14:17:57] 44/1000
    replicate 1/20 [14:17:57] 45/1000
    replicate 1/20 [14:17:57] 46/1000
    replicate 1/20 [14:17:57] 47/1000
    replicate 1/20 [14:17:57] 48/1000
    replicate 1/20 [14:17:57] 49/1000
    replicate 1/20 [14:17:57] 50/1000
    replicate 1/20 [14:17:57] 51/1000
    replicate 1/20 [14:17:57] 52/1000
    replicate 1/20 [14:17:58] 53/1000
    replicate 1/20 [14:17:58] 54/1000
    replicate 1/20 [14:17:58] 55/1000
    replicate 1/20 [14:17:58] 56/1000
    replicate 1/20 [14:17:58] 57/1000
    replicate 1/20 [14:17:58] 58/1000
    replicate 1/20 [14:17:58] 59/1000
    replicate 1/20 [14:17:58] 60/1000
    replicate 1/20 [14:17:58] 61/1000
    replicate 1/20 [14:17:58] 62/1000
    replicate 1/20 [14:17:58] 63/1000
    replicate 1/20 [14:17:58] 64/1000
    replicate 1/20 [14:17:58] 65/1000
    replicate 1/20 [14:17:58] 66/1000
    replicate 1/20 [14:17:58] 67/1000
    replicate 1/20 [14:17:58] 68/1000
    replicate 1/20 [14:17:58] 69/1000
    replicate 1/20 [14:17:58] 70/1000
    replicate 1/20 [14:17:58] 71/1000
    replicate 1/20 [14:17:58] 72/1000
    replicate 1/20 [14:17:58] 73/1000
    replicate 1/20 [14:17:58] 74/1000
    replicate 1/20 [14:17:58] 75/1000
    replicate 1/20 [14:17:58] 76/1000
    replicate 1/20 [14:17:58] 77/1000
    replicate 1/20 [14:17:58] 78/1000
    replicate 1/20 [14:17:58] 79/1000
    replicate 1/20 [14:17:58] 80/1000
    replicate 1/20 [14:17:58] 81/1000
    replicate 1/20 [14:17:58] 82/1000
    replicate 1/20 [14:17:58] 83/1000
    replicate 1/20 [14:17:58] 84/1000
    replicate 1/20 [14:17:58] 85/1000
    replicate 1/20 [14:17:58] 86/1000
    replicate 1/20 [14:17:58] 87/1000
    replicate 1/20 [14:17:58] 88/1000
    replicate 1/20 [14:17:58] 89/1000
    replicate 1/20 [14:17:58] 90/1000
    replicate 1/20 [14:17:58] 91/1000
    replicate 1/20 [14:17:59] 92/1000
    replicate 1/20 [14:17:59] 93/1000
    replicate 1/20 [14:17:59] 94/1000
    replicate 1/20 [14:17:59] 95/1000
    replicate 1/20 [14:17:59] 96/1000
    replicate 1/20 [14:17:59] 97/1000
    replicate 1/20 [14:17:59] 98/1000
    replicate 1/20 [14:17:59] 99/1000
    replicate 1/20 [14:17:59] 100/1000
    replicate 1/20 [14:18:01] 200/1000
    replicate 1/20 [14:18:03] 300/1000
    replicate 1/20 [14:18:06] 400/1000
    replicate 1/20 [14:18:08] 500/1000
    replicate 1/20 [14:18:10] 600/1000
    replicate 1/20 [14:18:12] 700/1000
    replicate 1/20 [14:18:15] 800/1000
    replicate 1/20 [14:18:17] 900/1000
    replicate 1/20 [14:18:19] 1000/1000
    replicate 2/20 [14:18:19] 1/1000                
    replicate 2/20 [14:18:19] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 2/20 [14:18:19] 2/1000
    replicate 2/20 [14:18:19] 3/1000
