scenario,50,100,300,600,1000,Total
dispersed | 10%,7.33365016186404,10.4271785581885,9.80780448394556,8.50613025090422,8.59456116414323,8.9338649238091
dispersed | 25%,6.80765017384716,8.60779650032145,7.8472517262592,8.84378029099644,9.0064138967718,8.22257851763921
dispersed | 40%,6.36036003808315,8.96754097436566,7.89457428399237,8.52203505600464,8.31342700120586,8.01158747073034
multi_cluster | 10%,8.12864619243195,9.47709891582973,8.31537564874873,10.7479176272874,8.31456362172285,8.99672040120413
multi_cluster | 25%,6.06549058111604,8.01126743101045,8.76559431521725,8.41791806812424,8.78914246587794,8.00988257226919
multi_cluster | 40%,6.10193848813307,9.2664881889901,8.63285963812363,9.71838328991815,7.56656317563929,8.25724655616085
one_cluster | 10%,7.18440481509149,9.13239727629221,8.5566974870109,9.33044941104033,8.7175834025071,8.58430647838841
one_cluster | 25%,6.48578190006516,7.46735249805209,8.52315303232051,9.63914370314851,8.67453591019826,8.15799340875691
one_cluster | 40%,5.70037624423976,7.46127169937234,8.74282914651596,8.42945476868861,7.99490572454281,7.6657675166719
transects | 10%,6.45092784488289,8.24130868594403,9.83207973490543,8.88819495360183,8.83306452792892,8.44911514945262
transects | 25%,6.88216298592061,7.81118467744631,7.70749876222664,8.96099944746974,9.20455727498384,8.11328062960943
transects | 40%,5.87281496407469,7.69806171332952,10.618297352355,8.40253513862959,8.03569031345995,8.12547989636975
TOTAL,6.61451703247917,8.54741225992853,8.77033463430177,9.03391183381781,8.50375070658182,8.29398529342182
