scenario,100,200,300,400,500,Total
dispersed | 10%,8.55904381737103,8.59481259073653,7.47604034686121,9.97911009134604,8.60823847520808,8.64344906430458
dispersed | 25%,8.92467170562041,8.69394145345098,8.33281839824573,8.95874720840356,8.30705905812034,8.6434475647682
dispersed | 40%,9.89445738189518,9.44708593874203,9.72091609643239,7.55224462534232,8.65052836716713,9.05304648191581
multi_cluster | 10%,8.78842876453982,7.69729529473532,8.76815786872447,9.09314112153622,8.23838257800359,8.51708112550788
multi_cluster | 25%,9.20052404970468,8.76809515468615,8.35927943791596,8.52058311579523,7.79967697956932,8.52963174753427
multi_cluster | 40%,9.81581795593091,8.41123649241108,9.80464206411198,8.85211218495431,9.27108581256083,9.23097890199382
one_cluster | 10%,8.60936364129977,8.90187170718236,8.25796320245715,9.26611673615616,10.2350761414384,9.05407828570677
one_cluster | 25%,8.21197764945833,8.29365748470307,8.88907927192489,10.603835356066,9.42339458137521,9.0843888687055
one_cluster | 40%,10.2073837858918,7.99097690318014,9.74406514403144,7.95152993611067,9.24525355244782,9.02784186433237
transects | 10%,9.34534047671938,8.27335686639325,10.3826665360021,10.1701188386592,9.36584902253659,9.50746634806209
transects | 25%,7.58003698054483,7.92608917456475,9.50420547185804,9.22980178415185,9.97494275208842,8.84301523264158
transects | 40%,9.25398016598939,8.53224821324573,9.43691461272967,8.96336871864231,8.31286133035484,8.89987460819239
TOTAL,9.03258553124713,8.46088893950262,9.05639570427458,9.09505914309698,8.95269572090588,8.91952500780544
